"Location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GHSI","GDP","WGI","Obesity","Vaccinationph"
"Armenia",84,0.0200488272327108,77614.0195,253.5,11.232,102.931,452.296,50.2,8787.58,-0.11,20.2,NA
"Australia",75,0.0301984486887334,1181.73133333333,7.66666666666667,15.504,3.202,727.569333333333,75.5,44648.71,1.43,20.1,17.6566666666667
"Australia",76,0.0301340380444794,1184.25742857143,12.4285714285714,15.504,3.202,745.8972,75.5,44648.71,1.43,20.1,20.08
"Australia",77,0.0300595267107441,1187.19342857143,11.5714285714286,15.504,3.202,759.339,75.5,44648.71,1.43,20.1,23.1657142857143
"Australia",78,0.0299649458454153,1190.94128571429,16.4285714285714,15.504,3.202,778.8166,75.5,44648.71,1.43,20.1,26.41
"Australia",79,0.0297702885654923,1198.734,37.1428571428571,15.504,3.202,807.49025,75.5,44648.71,1.43,20.1,29.1266666666667
"Australia",80,0.0295131746022841,1209.17657142857,38.1428571428571,15.504,3.202,840.9144,75.5,44648.71,1.43,20.1,32.6185714285714
"Australia",81,0.0291033665131619,1228.16842857143,96.4285714285714,15.504,3.202,868.7772,75.5,44648.71,1.43,20.1,36.1557142857143
"Australia",82,0.028444969585231,1260.95814285714,136.571428571429,15.504,3.202,911.327,75.5,44648.71,1.43,20.1,39.9942857142857
"Australia",83,0.0276316903256018,1306.03957142857,189.571428571429,15.504,3.202,958.343,75.5,44648.71,1.43,20.1,44.2714285714286
"Australia",84,0.0269733510449187,1343.3985,237,15.504,3.202,NA,75.5,44648.71,1.43,20.1,47.475
"Austria",75,0.0164535886452901,71672.6626666667,339.666666666667,19.202,106.749,4770.67166666667,58.5,45436.686,1.38,29,60.07
"Austria",76,0.0164463179480617,71845.1798571429,305.285714285714,19.202,106.749,5062.59928571429,58.5,45436.686,1.38,29,64.72
"Austria",77,0.0164370581750855,72027.4788571429,172.857142857143,19.202,106.749,5381.46285714286,58.5,45436.686,1.38,29,71.6385714285714
"Austria",78,0.0164448769197792,72131.167,105.857142857143,19.202,106.749,5725.28485714286,58.5,45436.686,1.38,29,78.1828571428571
"Austria",79,0.0164559478614172,72203.1317142857,78.8571428571429,19.202,106.749,6040.82385714286,58.5,45436.686,1.38,29,84.89
"Austria",80,0.0164620120794115,72263.2477142857,93.4285714285714,19.202,106.749,6316.608,58.5,45436.686,1.38,29,91.4971428571429
"Austria",81,0.016450757057334,72380.2121428571,218.857142857143,19.202,106.749,6601.12071428571,58.5,45436.686,1.38,29,96.8528571428571
"Austria",82,0.0164035580216418,72621.4055714286,362.428571428571,19.202,106.749,6907.64514285714,58.5,45436.686,1.38,29,101.271428571429
