"","X","location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GDP","Vaccinationph","GHSI","WGI","ï..iso_code","continent","Obesity_rate","Vaccinationph2","SI","CFRprcnt"
"5545",5531,"Jordan",88,0.013055571,77438.2994,788.8,3.81,109.285,900.0205,8337.49,61.72,42.1,-0.7,"JOR","Asia",35.5,61.72,57.41,1.3055571
"5623",5623,"Kazakhstan",88,0.014883299,44964.29,5369,6.991,6.681,NA,24055.588,62.602,40.7,-1.17,"KAZ","Asia",21,62.602,59.4925,1.4883299
"5702",5661,"Kenya",88,0.020021996,4272.0306,598.8,2.686,87.324,NA,2993.028,4.98,47.1,-0.36,"KEN","Africa",7.1,4.98,72.22,2.0021996
"5783",5782,"Kuwait",88,0.005901778,94613.0496,170.2,2.345,232.128,869.1448,65530.537,NA,46.1,-0.59,"KWT","Asia",37.9,54.88,49.07,0.5901778
"5860",5860,"Kyrgyzstan",88,0.014355841,26461.8916,184.2,4.489,32.333,NA,3393.474,16.922,49.3,-0.37,"KGZ","Asia",16.6,16.922,57.41,1.4355841
"5937",5869,"Laos",88,0.00087253,1986.3246,182.2,4.029,29.715,57.628,6397.36,NA,43.1,-1.74," "," ",5.3,41.26,53.7,0.087253
"6024",6023,"Latvia",88,0.018092504,76204.7294,190.2,19.754,31.212,1788.741,25063.846,80.404,62.9,0.81,"LVA","Europe",23.6,80.404,41.67,1.8092504
"6105",6104,"Lebanon",88,0.013401278,88673.4244,1082.4,8.514,594.561,NA,13367.565,35.8,43.1,-0.5,"LBN","Asia",32,35.8,65.74,1.3401278
"6174",6174,"Lesotho",88,0.027995832,6667.232,0,4.506,73.562,NA,2851.153,9.35,30.2,0.08," "," ",16.6,9.35,60.19,2.7995832
"6252",6251,"Liberia",88,0.044062649,1073.393,11.2,3.057,49.127,NA,752.788,NA,35.1,-0.04,"LBR","Africa",9.9,2.155,38.89,4.4062649
"6331",6290,"Libya",88,0.013710081,43969.466,1359,4.424,3.623,NA,17881.509,NA,25.7,-1.52,"LBY","Africa",32.5,14.76,72.22,1.3710081
"6411",6410,"Lithuania",88,0.015246084,110700.0286,545.8,19.002,45.135,1705.76525,29524.265,117.062,55,0.92,"LTU","Europe",26.3,117.062,25,1.5246084
"6488",6476,"Madagascar",88,0.022285266,1507.788,3,2.929,43.951,8.48,1416.44,NA,40.1,-0.31," "," ",5.3,0.69,53.7,2.2285266
"6564",6523,"Malawi",88,0.035826442,3071.701,80.8,2.979,197.519,NA,1095.042,4.4775,28,-0.06,"MWI","Africa",5.8,4.4775,39.81,3.5826442
"6649",6648,"Malaysia",88,0.009438598,52026.3134,21082.2,6.293,96.254,NA,26808.164,104.15,62.2,-0.08,"MYS","Asia",15.6,104.15,80.56,0.9438598
"6725",6725,"Mali",88,0.036268731,712.313,17.2,2.519,15.196,NA,2014.306,1.42,29,-0.31,"MLI","Africa",8.6,1.42,48.15,3.6268731
"6803",6762,"Mauritania",88,0.021219864,6971.3998,171.8,3.138,4.289,NA,3597.633,NA,27.5,-0.85,"MRT","Africa",12.7,5.32,36.11,2.1219864
"6880",6880,"Mauritius",88,0.003018751,7361.7044,401.8,10.945,622.962,NA,20292.745,NA,34.9,0.76,"MUS","Africa",10.8,117.52,49.07,0.3018751
"6968",6967,"Mexico",88,0.077449302,25593.8428,12129.8,6.857,66.444,71.392,17336.469,64.99,57.6,-0.01,"MEX","North America",28.9,64.99,67.13,7.7449302
"7047",7006,"Moldova",88,0.023945161,66356.0986,242.4,10.864,123.655,388.025,5189.972,31.61,42.9,-0.11,"MDA","Europe",18.9,31.61,54.63,2.3945161
"7126",7126,"Mongolia",88,0.004434855,63029.326,2414.8,4.031,1.98,1112.4568,11840.846,129.9325,49.5,0.26," "," ",20.6,129.9325,59.26,0.4434855
"7209",7205,"Morocco",88,0.014602312,22831.8826,4890.8,6.769,80.08,215.7794,7485.013,88.1725,43.7,-0.66,"MAR","Africa",26.1,88.1725,59.26,1.4602312
"7286",7245,"Mozambique",88,0.012677598,4534.1168,369.6,3.158,37.728,26.3248,1136.103,NA,28.1,-0.47," "," ",7.2,6.47,48.15,1.2677598
"7362",7362,"Myanmar",88,0.038672216,7162.7212,3153.6,5.732,81.721,NA,5591.597,NA,43.4,-0.89,"MMR","Asia",5.8,11.41,66.2,3.8672216
"7440",7440,"Namibia",88,0.027029816,48210.2882,154.2,3.552,3.078,254.5458,9541.808,NA,35.6,0.49," "," ",17.2,11.79,44.44,2.7029816
"7525",7443,"Nepal",88,0.014100621,25593.956,1546.4,5.809,204.43,131.2872,2442.804,32.15666667,20.8,-0.13," "," ",4.1,32.15666667,66.758,1.4100621
"7605",7604,"Netherlands",88,0.009304038,114809.9346,2521.4,18.779,508.544,736.14,48472.545,127.85,35.1,1.6,"NLD","Europe",20.4,127.85,41.67,0.9304038
"7685",7684,"New Zealand",88,0.007449856,718.259,54.4,15.322,18.206,605.8174,36085.843,68.976,54,1.62,"NZL","Oceania",30.8,68.976,96.3,0.7449856
"7762",7721,"Nicaragua",88,0.017664898,1683.0742,113.6,5.445,51.667,NA,5321.444,9.63,43.1,-1.08,"NIC","North America",23.7,9.63,2.78,1.7664898
"7839",7839,"Niger",88,0.033941824,232.3602,5.8,2.553,16.955,NA,926,1.96,32.2,-0.58,"NER","Africa",5.5,1.96,21.664,3.3941824
"7919",7877,"Nigeria",88,0.012588701,905.292,543.2,2.751,209.588,13.149,5338.454,2.04,37.8,-0.41,"NGA","Africa",8.9,2.04,54.63,1.2588701
"8000",7998,"Norway",88,0.005173363,28791.6358,1328,16.821,14.462,1299.9214,64800.057,125.968,64.6,1.73,"NOR","Europe",23.1,125.968,38.89,0.5173363
"8081",8079,"Oman",88,0.013429654,57826.1644,103.2,2.355,14.98,NA,37960.709,71.84,43.1,-1.03,"OMN","Asia",27,71.84,66.478,1.3429654
"8162",8160,"Pakistan",88,0.022224997,5134.2298,3869.4,4.495,255.573,78.3428,5034.708,24.44,35.5,-0.8,"PAK","Asia",8.6,24.44,62.96,2.2224997
"8241",8240,"Palestine",88,0.010865961,64704.6886,1934.6,3.043,778.202,NA,4449.898,25.106,21.9,NA,"PSE","Asia",NA,25.106,87.04,1.0865961
"8320",8319,"Panama",88,0.015437694,104205.261,521.8,7.918,55.133,834.3186667,22267.037,98.83333333,43.7,0.58,"PAN","North America",22.7,98.83333333,82.59,1.5437694
"8397",8396,"Papua New Guinea",88,0.010763539,1956.134,0,3.808,18.22,NA,3823.194,NA,27.8,0.04," "," ",21.3,1.24,49.07,1.0763539
"8476",8475,"Paraguay",88,0.0342978,63488.9462,64.2,6.378,17.144,245.0382,8827.01,54.41,35.7,0.05,"PRY","South America",20.3,54.41,49.07,3.42978
"8564",8562,"Peru",88,0.09225097,64395.8354,684.4,7.151,25.129,NA,12236.706,55.978,49.2,0.23,"PER","South America",19.47,55.978,67.59,9.225097
"8648",8646,"Philippines",88,0.016961491,17600.207,18131.4,4.803,351.873,158.1272,7599.188,30.08,47.6,0.04,"PHL","Asia",6.4,30.08,74.54,1.6961491
"8727",8726,"Poland",88,0.026085356,76413.7524,237,16.763,124.027,510.6552,27216.445,95.78,55.4,0.72,"POL","Europe",23.1,95.78,38.89,2.6085356
"8814",8812,"Portugal",88,0.017129502,101748.3906,1901.2,21.502,112.371,1668.214,27936.896,143.656,60.3,1.2,"PRT","Europe",20.8,143.656,52.78,1.7129502
"8894",8892,"Qatar",88,0.00259065,79294.488,190.4,1.307,227.322,850.4912,116935.6,150.155,41.2,-1.2,"QAT","Asia",35.1,150.155,50,0.259065
"8974",8972,"Romania",88,0.031481537,57337.833,968.2,17.85,85.129,474.018,23313.199,50.98,45.8,0.46,"ROU","Europe",22.5,50.98,38.43,3.1481537
"9058",9056,"Russia",88,0.026302277,46499.0238,18399.6,14.178,8.823,1225.204,24765.954,54.636,44.3,-1.06,"RUS","Europe",23.1,54.636,52.31,2.6302277
"9136",9135,"Rwanda",88,0.012438403,6527.8568,485.2,2.974,494.869,180.777,1854.211,16.38,34.2,-1.13," "," ",5.8,16.38,54.63,1.2438403
"9216",9214,"Saudi Arabia",88,0.0156667,15373.728,264.8,3.295,15.322,774.992,49045.411,103.144,49.3,-1.64,"SAU","Asia",35.4,103.144,55.56,1.56667
"9296",9294,"Senegal",88,0.024063009,4226.698,98,3.008,82.328,43.4536,2470.58,NA,37.9,0.24,"SEN","Africa",8.8,9.96,26.85,2.4063009
"9376",9374,"Serbia",88,0.009588797,111394.6514,2357.2,17.366,80.291,734.6536,14048.881,86.12,52.3,NA,"SRB","Europe",21.5,86.12,36.11,0.9588797
"9452",9451,"Sierra Leone",88,0.019011409,781.7628,0.8,2.538,104.7,NA,1390.3,2.38,38.2,-0.18,"SLE","Africa",8.7,2.38,37.96,1.9011409
"9537",9535,"Singapore",88,0.000808649,11408.073,138.4,12.922,7915.731,3014.07,85535.383,150.286,58.7,-0.06,"SGP","Asia",6.1,150.286,47.22,0.0808649
"9616",9615,"Slovakia",88,0.031788853,72285.1872,95.4,15.07,113.128,7521.887,30155.152,83.29,47.9,0.88,"SVK","Europe",20.5,83.29,34.72,3.1788853
"9700",9698,"Slovenia",88,0.016693573,128185.718,407.8,19.062,102.619,695.375,31400.84,90.944,67.2,0.99,"SVN","Europe",20.2,90.944,35.19,1.6693573
"9778",9777,"Somalia",88,0.055557556,1056.1816,90,2.731,23.5,NA,NA,1.78,16.6,-1.83,"SOM","Africa",8.3,1.78,35.19,5.5557556
"9861",9859,"South Africa",88,0.029552162,46025.6982,8537.2,5.344,46.754,273.3235,12294.876,20.42,54.8,0.66,"ZAF","Africa",28.3,20.42,51.85,2.9552162
"9947",9945,"South Korea",88,0.009130156,4874.5016,1657.4,13.914,527.967,239.0764,35938.374,82.86,70.2,-2.2,"KOR","Asia",4.7,82.86,50.93,0.9130156
"10022",10021,"South Sudan",88,0.01052009,1002.2338,14.2,3.441,NA,NA,1569.888,0.5,21.7,-1.98," "," ",8.6,0.5,25,1.052009
"10106",10104,"Spain",88,0.017377058,103530.5628,6549,19.436,93.105,NA,34272.36,140.6533333,65.9,1.06,"ESP","Europe",23.8,140.6533333,47.69,1.7377058
"10191",10189,"Sri Lanka",88,0.020501058,19919.426,5586.4,10.069,341.955,230.1634,11669.077,90.114,33.9,0.01,"LKA","Asia",5.2,90.114,86.11,2.0501058
"10269",10268,"Sudan",88,0.075087263,839.5314,2.2,3.548,23.258,NA,4466.507,NA,26.2,-1.84,"SDN","Africa",8.6,1.85,13.89,7.5087263
"10353",10351,"Sweden",88,0.013065127,110637.3432,934.8,19.985,24.718,NA,46949.283,122.985,72.1,1.61,"SWE","Europe",20.6,122.985,NA,1.3065127
"10434",10432,"Switzerland",88,0.014180197,88782.6436,2333,18.436,214.243,1069.6372,57410.166,109.9,67,1.62,"CHE","Europe",15.6,109.9,44.44,1.4180197
"10511",10510,"Syria",88,0.072396956,1513.7364,118,NA,NA,NA,NA,NA,19.9,-1.96,"SYR","Asia",NA,2.13,28.7,7.2396956
"10597",10595,"Taiwan",88,0.052188837,669.7376,9.6,NA,NA,111.8306,NA,45.6425,NA,0.98,"TWN","Asia",NA,45.6425,56.48,5.2188837
"10668",10667,"Tajikistan",88,0.007277587,1761.7292,39.8,3.466,64.281,NA,2896.913,28.8,32.3,-1.69," "," ",14.2,28.8,35.19,0.7277587
"10746",10745,"Tanzania",88,0.036576445,22.228,0,3.108,64.699,NA,2683.304,0.5,36.4,-0.36,"TZA","Africa",8.4,0.5,11.11,3.6576445
"10834",10832,"Thailand",88,0.009475483,16771.8034,16772,11.373,135.132,174.1925,16277.671,44.255,73.2,-1.01,"THA","Asia",10,44.255,71.762,0.9475483
"10911",10910,"Timor",88,0.003787916,12173.0072,215.8,3.556,87.176,137.015,6570.102,43.78,26,0.34," "," ",3.8,43.78,NA,0.3787916
"10990",10989,"Togo",88,0.008600808,2479.2638,148.8,2.839,143.366,54.2452,1429.813,NA,32.5,-0.74,"TGO","Africa",8.4,6.32,50.93,0.8600808
"11068",11067,"Trinidad and Tobago",88,0.028776617,31670.6736,219.4,10.014,266.886,218.841,28763.071,63.982,36.6,0.57,"TTO","North America",18.6,63.982,79.63,2.8776617
"11147",11146,"Tunisia",88,0.035285918,55304.2602,2599.8,8.001,74.228,215.843,10849.297,45.5275,33.7,0.21,"TUN","Africa",26.9,45.5275,79.63,3.5285918
"11225",11224,"Turkey",88,0.008853995,74651.1398,19006.8,8.153,104.914,891.5152,25129.341,109.496,52.4,-0.83,"TUR","Asia",32.1,109.496,32.41,0.8853995
"11302",11302,"Uganda",88,0.025027365,2539.466,154.8,2.168,213.759,33.5252,1697.707,NA,44.3,-0.67," "," ",5.3,2.61,81.48,2.5027365
"11382",11381,"Ukraine",88,0.023894423,54775.6446,2110.4,16.462,77.39,274.8,7894.393,20.68,38,-0.01,"UKR","Europe",24.1,20.68,50.93,2.3894423
"11466",11465,"United Arab Emirates",88,0.002844573,71702.237,993.6,1.144,112.442,7418.4942,67293.483,180.8825,46.7,-1.11,"ARE","Asia",31.7,180.8825,47.962,0.2844573
"11550",11549,"United Kingdom",88,0.019635915,99113.2128,32288,18.517,272.898,3553.3856,39753.244,133.036,77.9,1.38,"GBR","Europe",27.8,133.036,43.98,1.9635915
"11635",11634,"United States",88,0.016401103,116859.9548,162744.4,15.413,35.608,1583.775,54225.446,109.618,83.5,1.04,"USA","North America",36.2,109.618,56.76,1.6401103
"11713",11713,"Uruguay",88,0.015670448,110385.8312,95.2,14.655,19.751,950.728,20551.409,158.262,41.3,1.21,"URY","South America",27.9,158.262,52.78,1.5670448
"11791",11791,"Uzbekistan",88,0.006907199,4562.231,806.2,4.469,76.134,NA,6253.104,41.795,34.3,-1.62,"UZB","Asia",16.6,41.795,71.3,0.6907199
"11869",11869,"Venezuela",88,0.011996619,11591.8624,921.4,6.614,36.253,NA,16745.022,32.55,23,-1.41,"VEN","South America",25.6,32.55,86.11,1.1996619
"11954",11953,"Vietnam",88,0.024475933,4440.6864,13831.6,7.15,308.127,142.495,6171.884,19.846,49.1,-1.45," "," ",2.1,19.846,72.69,2.4475933
"12028",12028,"Yemen",88,0.187423642,255.4486,38.6,2.922,53.508,NA,1479.147,NA,18.5,-1.75," "," ",17.1,1.02,37.96,18.7423642
"12105",12105,"Zambia",88,0.017449415,10888.8398,202.4,2.48,22.995,119.6418,3689.251,3.02,28.7,-0.32,"ZMB","Africa",NA,3.02,43.52,1.7449415
"12182",12182,"Zimbabwe",88,0.035347273,8247.9056,157.4,2.822,42.729,74.816,1899.775,27.456,38.2,-1.13,"ZWE","Africa",15.5,27.456,78.7,3.5347273
