"","X","location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GDP","Vaccinationph","SI","GHSI","WGI","X...iso_code","continent","Obesity_rate","Vaccinationph2","vml","vml2","lw","TTs","TTs2","GDP2","PopulationDensity2","PopulationDensity22","GHSI2","WGI2","Age65Older2","Age65Older22","Obesity_rate2","Obesity_rate22","CFR2","CFR22","SI2","CFRprcnt"
"2931",2877,"Chad",103,0.031737682,337.157,0,2.486,11.833,NA,1768.153,1.69,22.22,28.8,-1.45," "," ",6.1,1.69,1.69,-0.542420101051054,4.63472898822964,NA,NA,-0.860106023686,11.833,-0.271178244595309,-0.958519640272573,-1.25806625519726,2.486,-0.973307348121885,6.1,-1.27284002168049,0.00031737682,0.191226719767166,-1.5213996883598,3.1737682
"3045",2977,"Chile",103,0.021694769,92838.663,1329.428571,11.087,24.282,1361.024143,22767.037,220.97,41.2,58.3,1.05,"CHL","South America",28,220.97,220.97,3.31066883655735,4.63472898822964,1361.024143,0.487087748627965,0.235571187858737,24.282,-0.252963946437013,1.05009955694681,1.2191795508544,11.087,0.366175356060392,28,1.11778130524892,0.00021694769,-0.131519444308656,-0.611986912190985,2.1694769
"3163",3102,"China",103,0.041257918,77.80457143,91.28571429,10.641,147.674,NA,15308.712,181.5014286,70.83,48.2,-1.45,"CHN","Asia",6.2,181.5014286,181.5014286,2.61714495911961,4.63472898822964,NA,NA,-0.15358838551642,147.674,-0.0724274633180053,0.362402814847973,-1.25806625519726,10.641,0.296717236531815,6.2,-1.26192394256209,0.00041257918,0.497175765636281,0.807712801079935,4.1257918
"3275",3192,"Colombia",103,0.025346425,99396.31571,1922.571429,7.646,44.223,558.4084286,13254.949,118.9933333,50.79285714,44.2,0.19,"COL","South America",22.3,118.9933333,118.9933333,1.51878099290563,4.63472898822964,558.4084286,-0.055025588199262,-0.260749381168082,44.223,-0.223788003021912,0.0900476694622931,0.367006993572629,7.646,-0.169711167028925,22.3,0.49556479550017,0.00025346425,-0.0141672411655579,-0.152352199700033,2.5346425
"3386",3356,"Congo",103,0.018858173,3373.181571,16.14285714,3.402,15.405,NA,4881.406,NA,49.07,23.6,-1.18,"COG","Africa",9.6,12.13,12.13,-0.358973145064955,4.63472898822964,NA,NA,-0.697663087867445,15.405,-0.265952003690704,-1.31258132927396,-0.990523708143681,3.402,-0.830653452408484,9.6,-0.890777252536523,0.00018858173,-0.222678302105474,-0.234901635665769,1.8858173
"3498",3407,"Costa Rica",103,0.012907189,110556.3891,74.57142857,9.468,96.079,426.7822857,15524.995,143,45.37,45.1,1.14,"CRI","North America",25.7,143,143,1.94061527733933,4.63472898822964,426.7822857,-0.143930261084416,-0.142303197487164,96.079,-0.147916796877111,0.151327577174071,1.30836039987226,9.468,0.114039267457776,25.7,0.866711485525741,0.00012907189,-0.41392333813004,-0.412184421325655,1.2907189
"3609",3622,"Cote d'Ivoire",103,0.011401918,2288.766143,19.28571429,2.933,76.399,43.543,3601.006,17.79,6.48,35.5,-0.22,"CIV","Africa",10.3,17.79,17.79,-0.259518186168277,4.63472898822964,43.543,-0.40278281560912,-0.764471643105993,76.399,-0.176710867706517,-0.50232477175156,-0.0392613186198432,2.933,-0.903693492899297,10.3,-0.814364698707729,0.00011401918,-0.462297792946544,-2.27557024141023,1.1401918
"3723",3668,"Croatia",103,0.017780395,160824.3206,3136.571429,19.724,73.726,879.55575,22669.797,108.2185714,40.74,53.3,0.5,"HRV","Europe",24.4,108.2185714,108.2185714,1.32945175228973,4.63472898822964,879.55575,0.16188798936186,0.230497410983232,73.726,-0.18062176970484,0.709655625214714,0.674185473523035,19.724,1.71126454522704,24.4,0.724802456986552,0.00017780395,-0.257314539144001,-0.634027474732484,1.7780395
"3834",3764,"Cuba",103,0.008625923,85150.43329,65.28571429,14.738,110.408,NA,NA,256.8657143,24.07,35.2,-1.44,"CUB","North America",24.6,256.8657143,256.8657143,3.94141208572226,4.63472898822964,NA,NA,NA,110.408,-0.126951845611128,-0.522751407655486,-1.24815727197305,14.738,0.934766374891865,24.6,0.74663461522335,0.00008625923,-0.551509134092649,-1.43275829552986,0.8625923
"3945",3865,"Democratic Republic of Congo",103,0.018459183,656.58,597.1428571,3.02,35.879,NA,808.133,0.28,39.81,26.5,-1.51,"COD","Africa",6.7,0.28,0.28,-0.567195983037682,4.63472898822964,NA,NA,-0.910197830309017,35.879,-0.235996220857306,-1.11512384886934,-1.3175201545425,3.02,-0.890144487520404,6.7,-1.2073435469701,0.00018459183,-0.235500527290996,-0.678587742479428,1.8459183
