"Location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GHSI","GDP","WGI","Obesity","Vaccinationph","covid_week"
"Chile",76,0.0209382522932762,74985.8331428571,7196.57142857143,11.087,24.282,798.336428571429,58.3,22767.037,1.05,28,103.254285714286,69
"Chile",77,0.0207871403782177,77470.3662857143,6393.42857142857,11.087,24.282,822.427714285714,58.3,22767.037,1.05,28,108.557142857143,69
"Chile",78,0.0207712590087975,79526.6092857143,4805.85714285714,11.087,24.282,845.047714285714,58.3,22767.037,1.05,28,113.375714285714,69
"Chile",79,0.0208758780111999,80896.029,4380.4,11.087,24.282,860.72125,58.3,22767.037,1.05,28,117.914,69
"China",75,0.0508082634664913,63.394,24,10.641,147.674,NA,48.2,15308.712,-1.45,6.2,50.27,78
"China",76,0.0507535276071243,63.4627142857143,23.7142857142857,10.641,147.674,NA,48.2,15308.712,-1.45,6.2,55.17,78
"China",77,0.0506552112844594,63.5858571428571,25,10.641,147.674,NA,48.2,15308.712,-1.45,6.2,63.2714285714286,78
"China",78,0.0505664133660972,63.6977142857143,22.8571428571429,10.641,147.674,NA,48.2,15308.712,-1.45,6.2,73.13,78
"China",79,0.0504948596266951,63.788,16.6666666666667,10.641,147.674,NA,48.2,15308.712,-1.45,6.2,83.05,78
"Croatia",77,0.0227152571105739,87352.2994,90.6,19.724,73.726,507.053,53.3,22669.797,0.5,24.4,52.652,70
"Croatia",78,0.0227745846354244,87494.848,60,19.724,73.726,514.5292,53.3,22669.797,0.5,24.4,57.836,70
"Croatia",79,0.02280080576992,87603.6352,66.6,19.724,73.726,520.2302,53.3,22669.797,0.5,24.4,61.754,70
"Cuba",79,0.00677833252697317,16342.6276666667,2789,14.738,110.408,445.637,35.2,NA,-1.44,24.6,51.5366666666667,70
"Denmark",73,0.00924202152170788,46832.095,1214,19.677,136.52,5323.886,70.4,46682.515,1.61,19.7,50.57,70
"Denmark",74,0.00913528073534702,47427.7808333333,958.333333333333,19.677,136.52,5414.40583333333,70.4,46682.515,1.61,19.7,53.165,70
"Dominican Republic",76,0.0121064801151963,28054.1136666667,1195,6.981,222.873,NA,38.3,14600.861,0.14,27.6,54.1033333333333,69
"Dominican Republic",77,0.0119926498152872,28546.805,1035.14285714286,6.981,222.873,150.53825,38.3,14600.861,0.14,27.6,58.89,69
"Dominican Republic",78,0.0118510534846693,29262.2162857143,1045.85714285714,6.981,222.873,151.036,38.3,14600.861,0.14,27.6,66.0442857142857,69
"Dominican Republic",79,0.0117680722151819,29793.1133333333,847.5,6.981,222.873,155.842,38.3,14600.861,0.14,27.6,70.5816666666667,69
"Estonia",74,0.00962923809658304,97310.3695,164.5,19.452,31.033,1067.7815,57,29481.252,1.21,21.2,50.7,70
"Estonia",75,0.00967545321867391,97691.167,107.285714285714,19.452,31.033,1081.21285714286,57,29481.252,1.21,21.2,53.6571428571429,70
"Estonia",76,0.00970519651622245,98135.5027142857,65,19.452,31.033,1101.56485714286,57,29481.252,1.21,21.2,58.3257142857143,70
"Estonia",77,0.00969809680540598,98418.4082857143,47.2857142857143,19.452,31.033,1120.39442857143,57,29481.252,1.21,21.2,63.4985714285714,70
"Estonia",78,0.00969327996805864,98622.8072857143,29,19.452,31.033,1138.439,57,29481.252,1.21,21.2,68.2485714285714,70
"Estonia",79,0.00968835564902809,98739.6525,27.6666666666667,19.452,31.033,1149.5715,57,29481.252,1.21,21.2,70.64,70
"Finland",74,0.0102866339002218,16597.849,220,21.228,18.136,900.169,68.7,40585.721,1.61,22.2,50.73,74
"Finland",75,0.0103114715310777,16703.6413333333,110.5,21.228,18.136,915.559,68.7,40585.721,1.61,22.2,54.045,74
"Finland",76,0.0102826237226659,16847.1548333333,96.6666666666667,21.228,18.136,934.8855,68.7,40585.721,1.61,22.2,59.3033333333333,74
"Finland",77,0.0102779530080668,16943.0077142857,66.8571428571429,21.228,18.136,951.318428571429,68.7,40585.721,1.61,22.2,64.3928571428571,74
"Finland",78,0.0102537166997438,17027.8294,81,21.228,18.136,965.313,68.7,40585.721,1.61,22.2,71.02,74
"Finland",79,0.0101835963056301,17173.67675,177.25,21.228,18.136,974.4025,68.7,40585.721,1.61,22.2,76.4225,74
"France",74,0.0192104974234559,84120.9403333333,9915,19.718,122.578,NA,68.2,38605.671,1.18,21.6,51.14,75
"France",75,0.0191396671889116,84828.7738571429,8371.85714285714,19.718,122.578,NA,68.2,38605.671,1.18,21.6,55.1171428571429,75
"France",76,0.019081413561371,85510.379,5132.71428571429,19.718,122.578,NA,68.2,38605.671,1.18,21.6,61.0142857142857,75
"France",77,0.0190621296828853,85901.9512857143,2836.14285714286,19.718,122.578,NA,68.2,38605.671,1.18,21.6,66.93,75
"France",78,0.0190628312048715,86146.1358571429,2116.71428571429,19.718,122.578,NA,68.2,38605.671,1.18,21.6,72.89,75
"France",79,0.0190592226467886,86314.8976,1921.4,19.718,122.578,NA,68.2,38605.671,1.18,21.6,77.99,75
"Germany",73,0.0239521488629095,43363.2065,11304,21.453,237.016,NA,66,45229.245,1.42,22.3,51.65,74
"Germany",74,0.0239453795827204,43685.2702857143,5069.42857142857,21.453,237.016,720.773,66,45229.245,1.42,22.3,55.0842857142857,74
"Germany",75,0.0240200999655383,44050.4971428571,3957.42857142857,21.453,237.016,732.044,66,45229.245,1.42,22.3,61.0671428571429,74
"Germany",76,0.0240896825262318,44294.0998571429,2417.85714285714,21.453,237.016,742.484,66,45229.245,1.42,22.3,67.1585714285714,74
"Germany",77,0.0241652289208039,44451.6327142857,1293,21.453,237.016,752.358,66,45229.245,1.42,22.3,74.2557142857143,74
"Germany",78,0.0242574858931883,44528.8174285714,749.428571428571,21.453,237.016,760.81,66,45229.245,1.42,22.3,81.1514285714286,74
"Germany",79,0.0243179629998435,44576.442,548.5,21.453,237.016,NA,66,45229.245,1.42,22.3,87.1116666666667,74
"Greece",74,0.0301156258659345,38085.759,1876,20.396,83.479,899.77,53.8,24574.382,0.86,24.9,50.9,70
"Greece",75,0.0300099564094774,38665.164,1479.16666666667,20.396,83.479,916.381166666667,53.8,24574.382,0.86,24.9,54.1566666666667,70
"Greece",76,0.0299641656303247,39381.1567142857,917,20.396,83.479,942.102666666667,53.8,24574.382,0.86,24.9,60.1342857142857,70
"Greece",77,0.0299259432107138,39871.9504285714,583.285714285714,20.396,83.479,970.336666666667,53.8,24574.382,0.86,24.9,66.6628571428571,70
"Greece",78,0.0299914511969757,40171.9034285714,379.428571428571,20.396,83.479,991.499857142857,53.8,24574.382,0.86,24.9,72.6042857142857,70
"Greece",79,0.0300476300085092,40413.9468333333,424.5,20.396,83.479,NA,53.8,24574.382,0.86,24.9,78.2633333333333,70
"Hungary",69,0.0341084521884938,78585.507,3067,18.577,108.043,490.8605,54,26777.561,0.32,26.4,51.095,69
"Hungary",70,0.0348077082279644,79870.381,2203.33333333333,18.577,108.043,501.917,54,26777.561,0.32,26.4,56.6316666666667,69
"Hungary",71,0.0356286645779365,81128.3974285714,1523.42857142857,18.577,108.043,515.012857142857,54,26777.561,0.32,26.4,64.9371428571429,69
"Hungary",72,0.0362011807741035,81998.944,1176.66666666667,18.577,108.043,526.490166666667,54,26777.561,0.32,26.4,71.24,69
"Hungary",73,0.0365918464902395,82656.7211428571,738.285714285714,18.577,108.043,537.928714285714,54,26777.561,0.32,26.4,77.3985714285714,69
"Hungary",74,0.0368334690829627,83041.6968571429,393,18.577,108.043,547.433,54,26777.561,0.32,26.4,84.63,69
"Hungary",75,0.0369667387478344,83278.852,311.857142857143,18.577,108.043,556.628285714286,54,26777.561,0.32,26.4,91.5157142857143,69
"Hungary",76,0.0370307406520398,83420.476,300,18.577,108.043,563.812,54,26777.561,0.32,26.4,95.75,69
"Hungary",78,0.0370930906532843,83581.651,0,18.577,108.043,NA,54,26777.561,0.32,26.4,101.86,69
