"Location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GHSI","GDP","WGI","Obesity","Vaccinationph"
"Austria",48,0.0108969919886552,30468.1115714286,4397,19.202,106.749,338.478857142857,58.5,45436.686,1.38,29,NA
"Austria",49,0.0124476650580846,33278.2087142857,3225.85714285714,19.202,106.749,357.842428571429,58.5,45436.686,1.38,29,NA
"Austria",50,0.0136653630917777,35471.3791428571,2801.28571428571,19.202,106.749,375.169142857143,58.5,45436.686,1.38,29,NA
"Austria",51,0.0154418977729086,37382.0838571429,2078.14285714286,19.202,106.749,395.463285714286,58.5,45436.686,1.38,29,NA
"Austria",52,0.0166780291792592,38890.2494285714,1875.14285714286,19.202,106.749,415.631571428571,58.5,45436.686,1.38,29,0.0233333333333333
"Austria",53,0.0172124874561898,39900.3485,2731.5,19.202,106.749,424.534,58.5,45436.686,1.38,29,0.06
"Austria",54,0.0173702719552031,40876.2021428571,1987.85714285714,19.202,106.749,424.116666666667,58.5,45436.686,1.38,29,0.0757142857142857
"Austria",55,0.0177034570928397,42472.7654285714,2075.71428571429,19.202,106.749,584.076714285714,58.5,45436.686,1.38,29,0.514285714285714
"Austria",56,0.0180620201622546,43878.8765714286,1505.42857142857,19.202,106.749,875.405,58.5,45436.686,1.38,29,1.55714285714286
"Austria",57,0.0183927916146011,45078.833,1490.28571428571,19.202,106.749,980.378714285714,58.5,45436.686,1.38,29,2.44857142857143
"Austria",58,0.0187451627396793,46152.9738571429,1367.28571428571,19.202,106.749,1053.95014285714,58.5,45436.686,1.38,29,3.09571428571429
"Austria",59,0.0189341591674978,47192.4725714286,1334,19.202,106.749,1169.46471428571,58.5,45436.686,1.38,29,4.21142857142857
"Austria",60,0.0189343434533785,48302.5722857143,1528.85714285714,19.202,106.749,1332.96557142857,58.5,45436.686,1.38,29,5.45
"Austria",61,0.0188245952181358,49627.0431428571,1846.57142857143,19.202,106.749,1500.51842857143,58.5,45436.686,1.38,29,6.57
"Austria",62,0.0186084958780473,51204.905,2125.57142857143,19.202,106.749,1680.08842857143,58.5,45436.686,1.38,29,8.05
"Austria",63,0.0182980052262615,53001.3735714286,2467.14285714286,19.202,106.749,1865.588,58.5,45436.686,1.38,29,9.96285714285714
"Austria",64,0.0179497069085954,55069.3001428571,2809.28571428571,19.202,106.749,2071.71971428571,58.5,45436.686,1.38,29,12.7728571428571
"Austria",65,0.017595403703665,57417.8362857143,3116,19.202,106.749,2289.183,58.5,45436.686,1.38,29,15.4942857142857
"Austria",66,0.0171979441152765,59932.6668571429,3314.14285714286,19.202,106.749,2532.50585714286,58.5,45436.686,1.38,29,18.3057142857143
"Austria",67,0.0169148548375969,62277.8881428571,2760.28571428571,19.202,106.749,2764.70785714286,58.5,45436.686,1.38,29,20.8242857142857
"Austria",68,0.0167757447225529,64314.2494285714,2567,19.202,106.749,2999.14985714286,58.5,45436.686,1.38,29,24.8042857142857
"Austria",69,0.0166713688923145,66139.6024285714,2230.14285714286,19.202,106.749,3229.31285714286,58.5,45436.686,1.38,29,28.9057142857143
"Austria",70,0.0165550056768611,67804.482,2035,19.202,106.749,3432.01928571429,58.5,45436.686,1.38,29,32.77
"Austria",71,0.0164745420893629,69204.5024285714,1535,19.202,106.749,3629.82557142857,58.5,45436.686,1.38,29,36.8742857142857
"Austria",72,0.0164541091568604,70163.725,1058.42857142857,19.202,106.749,3864.21914285714,58.5,45436.686,1.38,29,41.8885714285714
"Austria",73,0.0164466682238345,70802.017,674.714285714286,19.202,106.749,4073.07614285714,58.5,45436.686,1.38,29,46.6857142857143
