"","X","location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GDP","Vaccinationph","GHSI","WGI","ï..iso_code","continent","Obesity_rate","Vaccinationph2"
"6467",5069,"Ireland",62,0.019692027,44167.13043,595.8571429,13.928,69.874,712.1804286,67335.293,9.04,59,1.32,"IRL","Europe",25.3,9.04
"6477",2137,"Chile",26,0.019649527,13919.46057,4089.428571,11.087,24.282,54.77928571,22767.037,NA,58.3,1.05,"CHL","South America",28,0
"6480",11549,"United Kingdom",88,0.019635915,99113.2128,32288,18.517,272.898,3553.3856,39753.244,133.036,77.9,1.38,"GBR","Europe",27.8,133.036
"6484",5078,"Ireland",71,0.019618602,50219.36714,449.7142857,13.928,69.874,912.361,67335.293,32.75833333,59,1.32,"IRL","Europe",25.3,32.75833333
"6499",8782,"Portugal",60,0.019575497,77419.82857,2065.714286,21.502,112.371,775.7755714,27936.896,5.667142857,60.3,1.2,"PRT","Europe",20.8,5.667142857
"6510",7562,"Netherlands",45,0.019523706,23851.82143,6255.285714,18.779,508.544,218.257,48472.545,NA,35.1,1.6,"NLD","Europe",20.4,0
"6514",10098,"Spain",82,0.019505742,88995.00814,25728,19.436,93.105,1081.229,34272.36,111.908,65.9,1.06,"ESP","Europe",23.8,111.908
"6516",8802,"Portugal",79,0.019504159,86171.38429,1732.428571,21.502,112.371,1301.960143,27936.896,81.606,60.3,1.2,"PRT","Europe",20.8,81.606
"6527",1908,"Canada",71,0.019462176,32872.94171,7727.428571,16.984,4.037,837.4774286,44017.591,37.04857143,75.3,1.52,"CAN","North America",29.4,37.04857143
"6532",5079,"Ireland",72,0.01945691,50809.01186,425.1428571,13.928,69.874,938.0825714,67335.293,37.252,59,1.32,"IRL","Europe",25.3,37.252
"6559",3704,"France",68,0.019359358,75857.563,35528.85714,19.718,122.578,NA,38605.671,22.72857143,68.2,1.18,"FRA","Europe",21.6,22.72857143
"6566",5068,"Ireland",61,0.019351306,43267.827,690.1428571,13.928,69.874,690.2024286,67335.293,7.392857143,59,1.32,"IRL","Europe",25.3,7.392857143
"6567",984,"Belgium",12,0.01935085,242.7468571,432.2857143,18.571,375.564,2.565,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"6579",5080,"Ireland",73,0.019291688,51400.434,428,13.928,69.874,962.9155714,67335.293,NA,59,1.32,"IRL","Europe",25.3,37.252
"6599",3724,"France",74,0.019213974,83901.50414,9593.571429,19.718,122.578,NA,38605.671,49.98857143,68.2,1.18,"FRA","Europe",21.6,49.98857143
"6602",8804,"Portugal",80,0.019206134,87659.56557,2469.857143,21.502,112.371,1344.788429,27936.896,92.44,60.3,1.2,"PRT","Europe",20.8,92.44
"6603",2837,"Denmark",42,0.019203845,6096.854571,469,19.677,136.52,784.4977143,46682.515,NA,70.4,1.61,"DNK","Europe",19.7,0
"6617",3712,"France",75,0.019139962,84829.78871,8371.285714,19.718,122.578,NA,38605.671,55.36571429,68.2,1.18,"FRA","Europe",21.6,55.36571429
"6624",7949,"Norway",40,0.019107347,2631.196429,124.1428571,16.821,14.462,225.0542857,64800.057,NA,64.6,1.73,"NOR","Europe",23.1,0
"6629",3754,"France",76,0.019082552,85511.48286,5148.428571,19.718,122.578,NA,38605.671,61.32714286,68.2,1.18,"FRA","Europe",21.6,61.32714286
"6634",11668,"Uruguay",43,0.019075239,802.1375714,41.85714286,14.655,19.751,85.74342857,20551.409,NA,41.3,1.21,"URY","South America",27.9,0
"6636",5081,"Ireland",74,0.019065107,52011.23686,420.4285714,13.928,69.874,987.5345714,67335.293,47.15,59,1.32,"IRL","Europe",25.3,47.15
"6637",3756,"France",78,0.019064605,86148.76614,2109.714286,19.718,122.578,NA,38605.671,73.33,68.2,1.18,"FRA","Europe",21.6,73.33
"6639",3755,"France",77,0.01906364,85904.57114,2839.714286,19.718,122.578,NA,38605.671,67.30571429,68.2,1.18,"FRA","Europe",21.6,67.30571429
"6640",3757,"France",79,0.019060337,86345.44029,1958.142857,19.718,122.578,NA,38605.671,79.37142857,68.2,1.18,"FRA","Europe",21.6,79.37142857
"6649",3769,"France",80,0.019036475,86598.88786,3031,19.718,122.578,NA,38605.671,85.40714286,68.2,1.18,"FRA","Europe",21.6,85.40714286
"6667",3770,"France",81,0.018974876,87008.60386,4903.428571,19.718,122.578,NA,38605.671,91.31428571,68.2,1.18,"FRA","Europe",21.6,91.31428571
"6671",1909,"Canada",72,0.018953397,34199.70229,6585.428571,16.984,4.037,860.7205714,44017.591,42.75285714,75.3,1.52,"CAN","North America",29.4,42.75285714
"6675",7563,"Netherlands",46,0.018933386,26129.82,5425.428571,18.779,508.544,227.321,48472.545,NA,35.1,1.6,"NLD","Europe",20.4,0
"6686",5067,"Ireland",60,0.018877723,42201.75343,835.1428571,13.928,69.874,668.9255714,67335.293,5.784285714,59,1.32,"IRL","Europe",25.3,5.784285714
"6693",3718,"France",69,0.018863519,79546.68643,31544.57143,19.718,122.578,NA,38605.671,26.49714286,68.2,1.18,"FRA","Europe",21.6,26.49714286
"6694",5082,"Ireland",75,0.018855953,52588.12371,409,13.928,69.874,1011.145143,67335.293,47.91,59,1.32,"IRL","Europe",25.3,47.91
"6696",8805,"Portugal",81,0.018847903,89567.878,2986.428571,21.502,112.371,1388.199429,27936.896,103.04,60.3,1.2,"PRT","Europe",20.8,103.04
"6702",8744,"Portugal",13,0.018820103,502.8418571,725.8571429,21.502,112.371,5.750428571,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"6717",3771,"France",82,0.018788346,87982.19971,14365,19.718,122.578,NA,38605.671,97.91,68.2,1.18,"FRA","Europe",21.6,97.91
"6725",7924,"Norway",15,0.018763783,1170.195857,76.71428571,16.821,14.462,4.875714286,64800.057,NA,64.6,1.73,"NOR","Europe",23.1,0
"6726",11669,"Uruguay",44,0.018762892,891.1682857,40,14.655,19.751,91.849,20551.409,NA,41.3,1.21,"URY","South America",27.9,0
"6730",10099,"Spain",83,0.018741601,92812.21814,24719,19.436,93.105,1108.255,34272.36,118.07,65.9,1.06,"ESP","Europe",23.8,118.07
"6734",11641,"Uruguay",16,0.018719851,148.6305714,7.285714286,14.655,19.751,3.449666667,20551.409,NA,41.3,1.21,"URY","South America",27.9,0
"6741",8780,"Portugal",59,0.018670539,75514.41086,4215.857143,21.502,112.371,754.3581429,27936.896,4.365714286,60.3,1.2,"PRT","Europe",20.8,4.365714286
"6746",5083,"Ireland",76,0.018660268,53139.43729,355.2857143,13.928,69.874,1034.206714,67335.293,62.21,59,1.32,"IRL","Europe",25.3,62.21
"6755",3752,"France",87,0.018639523,99422.42986,20025,19.718,122.578,NA,38605.671,125.3057143,68.2,1.18,"FRA","Europe",21.6,125.3057143
"6759",1910,"Canada",73,0.018619011,35254.22729,5073.142857,16.984,4.037,881.9004286,44017.591,49.32142857,75.3,1.52,"CAN","North America",29.4,49.32142857
"6777",3720,"France",70,0.018551874,82539.15014,26265.28571,19.718,122.578,NA,38605.671,30.35428571,68.2,1.18,"FRA","Europe",21.6,30.35428571
"6790",5084,"Ireland",77,0.018524277,53588.11414,315.7142857,13.928,69.874,1054.964143,67335.293,64.59,59,1.32,"IRL","Europe",25.3,64.59
"6795",1920,"Canada",82,0.018518371,37598.92043,408.4285714,16.984,4.037,995.38,44017.591,120.0428571,75.3,1.52,"CAN","North America",29.4,120.0428571
"6801",1906,"Canada",81,0.018510016,37528.70743,388.5714286,16.984,4.037,984.1508571,44017.591,113.0271429,75.3,1.52,"CAN","North America",29.4,113.0271429
"6802",1921,"Canada",83,0.018508095,37692.39629,643.5714286,16.984,4.037,1004.760857,44017.591,125.9671429,75.3,1.52,"CAN","North America",29.4,125.9671429
"6804",5085,"Ireland",78,0.018503881,54031.54457,306.8571429,13.928,69.874,1075.570714,67335.293,73.84,59,1.32,"IRL","Europe",25.3,73.84
"6809",1905,"Canada",80,0.018499383,37445.80671,529.4285714,16.984,4.037,972.9994286,44017.591,104.3942857,75.3,1.52,"CAN","North America",29.4,104.3942857
"6815",1918,"Canada",84,0.018475202,37833.26857,952.4285714,16.984,4.037,1014.447143,44017.591,130.1885714,75.3,1.52,"CAN","North America",29.4,130.1885714
"6816",3726,"France",88,0.018474116,100908.5676,11486,19.718,122.578,NA,38605.671,129.012,68.2,1.18,"FRA","Europe",21.6,129.012
"6819",1917,"Canada",79,0.018462998,37351.28786,536,16.984,4.037,962.5554286,44017.591,95.13571429,75.3,1.52,"CAN","North America",29.4,95.13571429
"6821",1911,"Canada",74,0.018456397,35980.99243,3294,16.984,4.037,899.0517143,44017.591,56.05571429,75.3,1.52,"CAN","North America",29.4,56.05571429
"6825",8806,"Portugal",82,0.01844906,91780.34,3292,21.502,112.371,1433.997,27936.896,108.8842857,60.3,1.2,"PRT","Europe",20.8,108.8842857
"6835",1926,"Canada",78,0.018421973,37234.40271,752.1428571,16.984,4.037,951.5342857,44017.591,85.88714286,75.3,1.52,"CAN","North America",29.4,85.88714286
"6841",3772,"France",83,0.018412403,89912.24614,20898,19.718,122.578,NA,38605.671,104.8957143,68.2,1.18,"FRA","Europe",21.6,104.8957143
"6845",1919,"Canada",85,0.018403637,38077.17086,1623.285714,16.984,4.037,1024.622286,44017.591,133.1971429,75.3,1.52,"CAN","North America",29.4,133.1971429
"6852",7564,"Netherlands",47,0.018392644,28302.63757,5328.285714,18.779,508.544,237.041,48472.545,NA,35.1,1.6,"NLD","Europe",20.4,0
"6853",1915,"Canada",77,0.018392104,37067.20543,1126.714286,16.984,4.037,939.4841429,44017.591,77.51571429,75.3,1.52,"CAN","North America",29.4,77.51571429
"6857",1933,"Canada",75,0.01838519,36497.04,2319.285714,16.984,4.037,913.8422857,44017.591,62.64285714,75.3,1.52,"CAN","North America",29.4,62.64285714
"6860",5086,"Ireland",79,0.018382735,54496.87886,383.8571429,13.928,69.874,1097.558714,67335.293,80.38,59,1.32,"IRL","Europe",25.3,80.38
"6861",1932,"Canada",76,0.018379158,36832.33914,1501.142857,16.984,4.037,927.0928571,44017.591,69.65428571,75.3,1.52,"CAN","North America",29.4,69.65428571
"6862",3721,"France",71,0.01837892,84808.89871,19393.57143,19.718,122.578,NA,38605.671,34.62714286,68.2,1.18,"FRA","Europe",21.6,34.62714286
"6884",3723,"France",73,0.018320699,87291.55557,12730.83333,19.718,122.578,NA,38605.671,44.74428571,68.2,1.18,"FRA","Europe",21.6,44.74428571
"6902",1924,"Canada",86,0.018264366,38437.26429,2237.428571,16.984,4.037,1036.236286,44017.591,135.7314286,75.3,1.52,"CAN","North America",29.4,135.7314286
"6906",3722,"France",72,0.018257478,86614.44357,16156.42857,19.718,122.578,NA,38605.671,39.54571429,68.2,1.18,"FRA","Europe",21.6,39.54571429
"6916",5066,"Ireland",59,0.018222775,40996.05957,865.2857143,13.928,69.874,646.2035714,67335.293,4.951666667,59,1.32,"IRL","Europe",25.3,4.951666667
"6921",5128,"Ireland",80,0.018209985,55122.76143,474.2857143,13.928,69.874,1121.803,67335.293,89.4775,59,1.32,"IRL","Europe",25.3,89.4775
"6936",10100,"Spain",84,0.01816116,96202.91829,20611.42857,19.436,93.105,1133.06,34272.36,123.322,65.9,1.06,"ESP","Europe",23.8,123.322
"6953",1925,"Canada",87,0.018122611,38906.32057,2830.571429,16.984,4.037,1049.148143,44017.591,137.9514286,75.3,1.52,"CAN","North America",29.4,137.9514286
"6959",8807,"Portugal",83,0.018112419,93937.825,2886,21.502,112.371,1478.935286,27936.896,115.4014286,60.3,1.2,"PRT","Europe",20.8,115.4014286
"7002",3764,"France",84,0.018002596,92191.07829,22423.71429,19.718,122.578,NA,38605.671,111.0742857,68.2,1.18,"FRA","Europe",21.6,111.0742857
"7008",5129,"Ireland",81,0.017982573,55906.41229,668.5714286,13.928,69.874,1147.493,67335.293,96.54285714,59,1.32,"IRL","Europe",25.3,96.54285714
"7012",1922,"Canada",88,0.017978268,39396.8958,3295,16.984,4.037,1061.1684,44017.591,139.626,75.3,1.52,"CAN","North America",29.4,139.626
"7016",7565,"Netherlands",48,0.01796325,30378.06871,4946.571429,18.779,508.544,246.63,48472.545,NA,35.1,1.6,"NLD","Europe",20.4,0
"7021",3766,"France",86,0.017951735,97160.00786,23911.28571,19.718,122.578,NA,38605.671,120.7885714,68.2,1.18,"FRA","Europe",21.6,120.7885714
"7027",8764,"Portugal",44,0.017940103,13771.45986,3573,21.502,112.371,342.625,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"7052",11670,"Uruguay",45,0.017892504,986.1834286,60.57142857,14.655,19.751,97.74757143,20551.409,NA,41.3,1.21,"URY","South America",27.9,0
"7061",10026,"Spain",10,0.017870868,14.73628571,218.5714286,19.436,93.105,NA,34272.36,NA,65.9,1.06,"ESP","Europe",23.8,0
"7063",8808,"Portugal",84,0.017870294,95669.65786,2363,21.502,112.371,1521.684714,27936.896,121.5133333,60.3,1.2,"PRT","Europe",20.8,121.5133333
"7072",7950,"Norway",41,0.017848388,2823.985429,144.1428571,16.821,14.462,241.0074286,64800.057,NA,64.6,1.73,"NOR","Europe",23.1,0
"7116",10101,"Spain",85,0.017764937,98937.47471,15901.71429,19.436,93.105,1153.439,34272.36,128.286,65.9,1.06,"ESP","Europe",23.8,128.286
"7141",2136,"Chile",25,0.017707716,12298.30929,4577,11.087,24.282,48.63971429,22767.037,NA,58.3,1.05,"CHL","South America",28,0
"7155",8809,"Portugal",85,0.01768188,97250.65229,2280.285714,21.502,112.371,1561.098143,27936.896,127.6828571,60.3,1.2,"PRT","Europe",20.8,127.6828571
"7194",3765,"France",85,0.017599864,94606.81671,24374.71429,19.718,122.578,NA,38605.671,116.1971429,68.2,1.18,"FRA","Europe",21.6,116.1971429
"7201",5130,"Ireland",82,0.017579524,57314.742,1193.571429,13.928,69.874,1174.417143,67335.293,105.2885714,59,1.32,"IRL","Europe",25.3,105.2885714
"7214",8779,"Portugal",58,0.017530368,71346.23286,9067.857143,21.502,112.371,725.9855714,27936.896,3.608571429,60.3,1.2,"PRT","Europe",20.8,3.608571429
"7221",10102,"Spain",86,0.017514877,100963.8919,11445.71429,19.436,93.105,1170.963,34272.36,133.102,65.9,1.06,"ESP","Europe",23.8,133.102
"7225",2878,"Denmark",43,0.017509348,6887.504286,827.2857143,19.677,136.52,839.6802857,46682.515,NA,70.4,1.61,"DNK","Europe",19.7,0
"7239",8810,"Portugal",86,0.017485057,98850.83843,2310.857143,21.502,112.371,1600.481714,27936.896,134.1085714,60.3,1.2,"PRT","Europe",20.8,134.1085714
"7279",10103,"Spain",87,0.017402875,102524.3601,9188.142857,19.436,93.105,1186.821,34272.36,137.594,65.9,1.06,"ESP","Europe",23.8,137.594
"7287",10104,"Spain",88,0.017377058,103530.5628,6549,19.436,93.105,NA,34272.36,140.6533333,65.9,1.06,"ESP","Europe",23.8,140.6533333
"7293",7566,"Netherlands",49,0.017369188,32620.38871,6266.857143,18.779,508.544,257.655,48472.545,NA,35.1,1.6,"NLD","Europe",20.4,0
"7326",8811,"Portugal",87,0.017283342,100441.9627,2328,21.502,112.371,1637.989143,27936.896,139.8357143,60.3,1.2,"PRT","Europe",20.8,139.8357143
"7401",8812,"Portugal",88,0.017129502,101748.3906,1901.2,21.502,112.371,1668.214,27936.896,143.656,60.3,1.2,"PRT","Europe",20.8,143.656
"7416",5065,"Ireland",58,0.017106785,39618.11943,1157,13.928,69.874,621.3578571,67335.293,4.01,59,1.32,"IRL","Europe",25.3,4.01
"7423",5131,"Ireland",83,0.017090284,59052.885,1272.714286,13.928,69.874,1202.478857,67335.293,112.6,59,1.32,"IRL","Europe",25.3,112.6
"7472",7951,"Norway",42,0.016981513,2994.375,139.8571429,16.821,14.462,257.6132857,64800.057,NA,64.6,1.73,"NOR","Europe",23.1,0
"7500",5149,"Israel",21,0.01692975,1895.042714,20.14285714,11.733,402.606,61.33128571,33132.32,NA,47.3,0.65,"ISR","Asia",26.1,0
"7503",5150,"Israel",22,0.016922469,1936.275714,81,11.733,402.606,65.21357143,33132.32,NA,47.3,0.65,"ISR","Asia",26.1,0
"7571",8774,"Portugal",53,0.016757345,40309.56,6838,21.502,112.371,556.9915,27936.896,0.31,60.3,1.2,"PRT","Europe",20.8,0.31
"7593",5151,"Israel",23,0.016696183,2023.926,133.7142857,11.733,402.606,74.09028571,33132.32,NA,47.3,0.65,"ISR","Asia",26.1,0
"7601",8773,"Portugal",52,0.016685172,38593.54,3049.428571,21.502,112.371,542.086,27936.896,0.11,60.3,1.2,"PRT","Europe",20.8,0.11
"7619",8778,"Portugal",57,0.016630436,63520.76871,12890.57143,21.502,112.371,686.4157143,27936.896,2.701666667,60.3,1.2,"PRT","Europe",20.8,2.701666667
"7625",5132,"Ireland",84,0.016611886,60861.84157,1281.571429,13.928,69.874,1228.818143,67335.293,118.7728571,59,1.32,"IRL","Europe",25.3,118.7728571
"7641",8775,"Portugal",54,0.016585896,42754.81971,6122.142857,21.502,112.371,571.612,27936.896,0.437142857,60.3,1.2,"PRT","Europe",20.8,0.437142857
"7657",8765,"Portugal",45,0.01652912,16982.131,5399.142857,21.502,112.371,367.4457143,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"7677",5148,"Israel",20,0.016465151,1881.341571,20.28571429,11.733,402.606,57.11085714,33132.32,NA,47.3,0.65,"ISR","Asia",26.1,0
"7689",7567,"Netherlands",50,0.016452479,35725.74486,8400.571429,18.779,508.544,272.191,48472.545,NA,35.1,1.6,"NLD","Europe",20.4,0
"7710",3753,"France",10,0.016417685,13.94871429,224.4285714,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"7712",11671,"Uruguay",46,0.016414007,1134.486286,84,14.655,19.751,105.069,20551.409,NA,41.3,1.21,"URY","South America",27.9,0
"7736",8772,"Portugal",51,0.016359083,36355.901,3582.857143,21.502,112.371,517.8352857,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"7790",8777,"Portugal",56,0.016215316,55045.671,11049,21.502,112.371,642.41,27936.896,1.534285714,60.3,1.2,"PRT","Europe",20.8,1.534285714
"7793",8776,"Portugal",55,0.016209837,48293.94786,8753.285714,21.502,112.371,604.8394286,27936.896,0.887142857,60.3,1.2,"PRT","Europe",20.8,0.887142857
"7822",5133,"Ireland",85,0.016084123,62995.25043,1702.571429,13.928,69.874,1255.341286,67335.293,124.0333333,59,1.32,"IRL","Europe",25.3,124.0333333
"7846",5064,"Ireland",57,0.015986346,37861.39843,1531.857143,13.928,69.874,594.0555714,67335.293,3.055,59,1.32,"IRL","Europe",25.3,3.055
"7851",5152,"Israel",24,0.015970089,2163.195143,199.7142857,11.733,402.606,85.40085714,33132.32,NA,47.3,0.65,"ISR","Asia",26.1,0
"7875",8771,"Portugal",50,0.015894892,33797.11157,3657.142857,21.502,112.371,492.8975714,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"7881",5062,"Ireland",55,0.015877818,30233.51714,5057.142857,13.928,69.874,531.8634286,67335.293,1.175,59,1.32,"IRL","Europe",25.3,1.175
"7918",8766,"Portugal",46,0.015731279,20782.584,6126.714286,21.502,112.371,393.8027143,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"7919",7952,"Norway",43,0.01572268,3251.383714,270.5714286,16.821,14.462,275.8464286,64800.057,NA,64.6,1.73,"NOR","Europe",23.1,0
"7941",11713,"Uruguay",88,0.015670448,110385.8312,95.2,14.655,19.751,950.728,20551.409,158.262,41.3,1.21,"URY","South America",27.9,158.262
"7945",11712,"Uruguay",87,0.015665547,110236.676,100,14.655,19.751,939.3735,20551.409,153.2628571,41.3,1.21,"URY","South America",27.9,153.2628571
"7947",11711,"Uruguay",86,0.015663025,110013.6481,108.7142857,14.655,19.751,923.8985,20551.409,146.1114286,41.3,1.21,"URY","South America",27.9,146.1114286
"7954",11710,"Uruguay",85,0.015652869,109786.5213,120.2857143,14.655,19.751,908.287,20551.409,141.6085714,41.3,1.21,"URY","South America",27.9,141.6085714
"7958",11709,"Uruguay",84,0.01564198,109532.7096,138.2857143,14.655,19.751,879.166,20551.409,138.6185714,41.3,1.21,"URY","South America",27.9,138.6185714
"7964",5100,"Ireland",11,0.015633346,23.68128571,27,13.928,69.874,NA,67335.293,NA,59,1.32,"IRL","Europe",25.3,0
"7977",11708,"Uruguay",83,0.015596925,109215.6917,182.2857143,14.655,19.751,868.373,20551.409,135.3571429,41.3,1.21,"URY","South America",27.9,135.3571429
"7998",11707,"Uruguay",82,0.01553693,108790.5,267.1428571,14.655,19.751,849.39975,20551.409,130.9985714,41.3,1.21,"URY","South America",27.9,130.9985714
"8005",5134,"Ireland",86,0.015525409,65455.72057,1752.714286,13.928,69.874,1284.303143,67335.293,128.9066667,59,1.32,"IRL","Europe",25.3,128.9066667
"8035",11706,"Uruguay",81,0.015467133,108160.0704,391.8571429,14.655,19.751,835.9718571,20551.409,124.8528571,41.3,1.21,"URY","South America",27.9,124.8528571
"8051",2875,"Denmark",44,0.015435478,8048.020286,1062.571429,19.677,136.52,915.013,46682.515,NA,70.4,1.61,"DNK","Europe",19.7,0
"8061",8769,"Portugal",49,0.015404051,31164.92629,3930.571429,21.502,112.371,470.854,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"8071",5147,"Israel",19,0.015367285,1861.204857,38.42857143,11.733,402.606,51.77314286,33132.32,NA,47.3,0.65,"ISR","Asia",26.1,0
"8082",7568,"Netherlands",51,0.015336301,40000.47143,11804,18.779,508.544,287.933,48472.545,NA,35.1,1.6,"NLD","Europe",20.4,0
"8098",11705,"Uruguay",80,0.015293016,107130.888,671.1428571,14.655,19.751,820.5496667,20551.409,118.7185714,41.3,1.21,"URY","South America",27.9,118.7185714
"8104",11672,"Uruguay",47,0.015274841,1313.572571,94.57142857,14.655,19.751,113.1678333,20551.409,NA,41.3,1.21,"URY","South America",27.9,0
"8112",5063,"Ireland",56,0.015258807,35033.55814,2695,13.928,69.874,564.4121429,67335.293,2.17,59,1.32,"IRL","Europe",25.3,2.17
"8152",11640,"Uruguay",15,0.015099824,138.506,9.714285714,14.655,19.751,2.319285714,20551.409,NA,41.3,1.21,"URY","South America",27.9,0
"8155",8767,"Portugal",47,0.015095856,24991.38014,5513.857143,21.502,112.371,421.7807143,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"8164",11704,"Uruguay",79,0.015065284,105318.1366,1229.428571,14.655,19.751,798.4328333,20551.409,110.6942857,41.3,1.21,"URY","South America",27.9,110.6942857
"8169",8768,"Portugal",48,0.015057835,28440.57457,4534.428571,21.502,112.371,448.369,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"8174",2135,"Chile",24,0.015028262,10438.67329,6194.714286,11.087,24.282,42.22271429,22767.037,NA,58.3,1.05,"CHL","South America",28,0
"8184",5135,"Ireland",87,0.014994535,67985.57057,1855.571429,13.928,69.874,1312.366143,67335.293,133.4285714,59,1.32,"IRL","Europe",25.3,133.4285714
"8206",7527,"Netherlands",11,0.014916718,58.55514286,189.8571429,18.779,508.544,0.995,48472.545,NA,35.1,1.6,"NLD","Europe",20.4,0
"8218",11703,"Uruguay",78,0.014887978,102340.4433,1904.571429,14.655,19.751,770.3225,20551.409,103.6271429,41.3,1.21,"URY","South America",27.9,103.6271429
"8223",5193,"Israel",25,0.014870956,2356.520143,287.2857143,11.733,402.606,95.92985714,33132.32,NA,47.3,0.65,"ISR","Asia",26.1,0
"8267",11702,"Uruguay",77,0.014762148,97887.79871,2662.142857,14.655,19.751,736.2161667,20551.409,96.03857143,41.3,1.21,"URY","South America",27.9,96.03857143
"8291",11701,"Uruguay",76,0.014694703,91650.89071,3659.428571,14.655,19.751,700.205,20551.409,88.78,41.3,1.21,"URY","South America",27.9,88.78
"8336",11699,"Uruguay",74,0.014570998,77151.83071,3775.857143,14.655,19.751,612.9135,20551.409,75.40285714,41.3,1.21,"URY","South America",27.9,75.40285714
"8337",5136,"Ireland",88,0.014570633,70136.6912,1650.4,13.928,69.874,1336.2172,67335.293,136.486,59,1.32,"IRL","Europe",25.3,136.486
"8345",11700,"Uruguay",75,0.014550114,84452.22957,3434.142857,14.655,19.751,656.6202,20551.409,81.97714286,41.3,1.21,"URY","South America",27.9,81.97714286
"8372",7569,"Netherlands",52,0.014489169,44420.60857,9661.428571,18.779,508.544,301.596,48472.545,NA,35.1,1.6,"NLD","Europe",20.4,0
"8384",11698,"Uruguay",73,0.014461234,69930.74786,3148.571429,14.655,19.751,580.7223333,20551.409,68.27428571,41.3,1.21,"URY","South America",27.9,68.27428571
"8396",5146,"Israel",18,0.014423588,1822.848429,72.71428571,11.733,402.606,45.19171429,33132.32,NA,47.3,0.65,"ISR","Asia",26.1,0
"8436",7577,"Netherlands",60,0.014343016,60930.97057,3666,18.779,508.544,372.918,48472.545,4.59,35.1,1.6,"NLD","Europe",20.4,4.59
"8441",7578,"Netherlands",61,0.014329317,62612.57129,4516.285714,18.779,508.544,383.881,48472.545,6.05,35.1,1.6,"NLD","Europe",20.4,6.05
"8464",7570,"Netherlands",53,0.014276643,46787.55,9661.5,18.779,508.544,NA,48472.545,NA,35.1,1.6,"NLD","Europe",20.4,0
"8466",7576,"Netherlands",59,0.014270563,59489.52957,3455.142857,18.779,508.544,364.624,48472.545,3.33,35.1,1.6,"NLD","Europe",20.4,3.33
"8480",7575,"Netherlands",58,0.014225404,57973.13743,3938,18.779,508.544,355.824,48472.545,2.05,35.1,1.6,"NLD","Europe",20.4,2.05
"8481",5102,"Ireland",13,0.014224864,478.1777143,272.2857143,13.928,69.874,5.008857143,67335.293,NA,59,1.32,"IRL","Europe",25.3,0
"8487",7579,"Netherlands",62,0.014209279,64486.41629,4548,18.779,508.544,395.753,48472.545,8.05,35.1,1.6,"NLD","Europe",20.4,8.05
"8496",7574,"Netherlands",57,0.014198798,56251.92357,4822,18.779,508.544,346.874,48472.545,0.97,35.1,1.6,"NLD","Europe",20.4,0.97
"8500",7573,"Netherlands",56,0.014185761,54155.804,5377.428571,18.779,508.544,336.62,48472.545,0.45,35.1,1.6,"NLD","Europe",20.4,0.45
"8503",11697,"Uruguay",72,0.01417963,64123.00771,2636,14.655,19.751,550.5825,20551.409,60.20142857,41.3,1.21,"URY","South America",27.9,60.20142857
"8527",7571,"Netherlands",54,0.014119938,48876.87343,7774.714286,18.779,508.544,313.616,48472.545,NA,35.1,1.6,"NLD","Europe",20.4,0
"8528",7572,"Netherlands",55,0.014118728,51831.57029,6500.142857,18.779,508.544,325.677,48472.545,0.2,35.1,1.6,"NLD","Europe",20.4,0.2
"8556",7580,"Netherlands",63,0.014043771,66357.34971,4813,18.779,508.544,409.093,48472.545,9.77,35.1,1.6,"NLD","Europe",20.4,9.77
"8634",7953,"Norway",44,0.013814102,3736.493286,470,16.821,14.462,298.7634286,64800.057,NA,64.6,1.73,"NOR","Europe",23.1,0
"8653",7595,"Netherlands",64,0.013777118,68613.129,5969.714286,18.779,508.544,424.894,48472.545,11.43,35.1,1.6,"NLD","Europe",20.4,11.43
"8682",11673,"Uruguay",48,0.013721588,1578.779429,164.8571429,14.655,19.751,121.9347143,20551.409,NA,41.3,1.21,"URY","South America",27.9,0
"8722",5154,"Israel",26,0.013660103,2687.976714,541.8571429,11.733,402.606,108.0564286,33132.32,NA,47.3,0.65,"ISR","Asia",26.1,0
"8736",1857,"Canada",13,0.0136425,164.927,865.8571429,16.984,4.037,3.645428571,44017.591,NA,75.3,1.52,"CAN","North America",29.4,0
"8750",11696,"Uruguay",71,0.013610161,58870.56214,2530.714286,14.655,19.751,527.2331667,20551.409,55.07428571,41.3,1.21,"URY","South America",27.9,55.07428571
"8753",2876,"Denmark",45,0.013602581,9369.005143,1052.285714,19.677,136.52,995.7278571,46682.515,NA,70.4,1.61,"DNK","Europe",19.7,0
