"","X","location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GDP","Vaccinationph","GHSI","WGI","ï..iso_code","continent","Obesity_rate","Vaccinationph2"
"2780",2209,"China",15,0.040678894,56.81314286,73,10.641,147.674,NA,15308.712,NA,48.2,-1.45,"CHN","Asia",6.2,0
"2786",8736,"Portugal",18,0.040602444,2481.178143,197.1428571,21.502,112.371,44.35857143,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"2793",1872,"Canada",15,0.040495212,635.2858571,1386.428571,16.984,4.037,8.210285714,44017.591,NA,75.3,1.52,"CAN","North America",29.4,0
"2796",2207,"China",13,0.040466077,56.37857143,51.42857143,10.641,147.674,NA,15308.712,NA,48.2,-1.45,"CHN","Asia",6.2,0
"2798",10092,"Spain",40,0.040460786,16980.84714,11020.57143,19.436,93.105,216.52,34272.36,NA,65.9,1.06,"ESP","Europe",23.8,0
"2821",2206,"China",12,0.040191266,56.12142857,44.14285714,10.641,147.674,NA,15308.712,NA,48.2,-1.45,"CHN","Asia",6.2,0
"2829",1903,"Canada",45,0.040108597,6945.827143,4141,16.984,4.037,313.2431429,44017.591,NA,75.3,1.52,"CAN","North America",29.4,0
"2854",5105,"Ireland",16,0.039715869,2909.921,651.5714286,13.928,69.874,20.75057143,67335.293,NA,59,1.32,"IRL","Europe",25.3,0
"2867",8743,"Portugal",25,0.039467565,3812.100286,343,21.502,112.371,107.0845714,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"2868",2245,"China",11,0.039460686,55.97471429,18.42857143,10.641,147.674,NA,15308.712,NA,48.2,-1.45,"CHN","Asia",6.2,0
"2878",5255,"Italy",46,0.039339136,18858.69471,34658.42857,23.021,205.859,308.7135714,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"2889",2868,"Denmark",33,0.039168718,2728.078286,136.4285714,19.677,136.52,332.4671429,46682.515,NA,70.4,1.61,"DNK","Europe",19.7,0
"2931",7540,"Netherlands",12,0.038558469,214.031,552.7142857,18.779,508.544,2.237,48472.545,NA,35.1,1.6,"NLD","Europe",20.4,0
"2934",11503,"United Kingdom",46,0.038510786,19697.16843,25308.85714,18.517,272.898,431.342,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"2945",3727,"France",9,0.038398537,1.577285714,28.28571429,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
