,location,Weeks,CFR,TotalCasepm,NewCases,Age65Older,PopulationDensity,TotalTestpt,GDP,Vaccinationph,GHSI,WGI,continent,Obesity_rate,id,lw,vml,vml2,TTs,TTs2,GDP2,PopulationDensity2,PopulationDensity22,GHSI2,WGI2,Age65Older2,Age65Older22,Obesity_rate2,Obesity_rate22,CFR2
42,Albania,58,0.017562252,27480.71457,934.1428571,13.188,104.871,120.4637143,11803.431,0.02,52.9,0.21,Europe,21.7,42,4.060443011,0.02,-0.719406791,0.120463714,-0.457990878,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.75623E-06
43,Albania,70,0.018213116,45391.51929,123.2857143,13.188,104.871,210.6504286,11803.431,14.50166667,52.9,0.21,Europe,21.7,43,4.248495242,14.50166667,-0.26667936,0.210650429,-0.366309918,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.82131E-06
44,Albania,71,0.018276669,45622.15171,76.14285714,13.188,104.871,216.2991429,11803.431,18.26833333,52.9,0.21,Europe,21.7,44,4.262679877,18.26833333,-0.148925419,0.216299143,-0.360567613,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.82767E-06
45,Albania,84,0.018465563,46236.1875,41,13.188,104.871,NA,11803.431,41.52,52.9,0.21,Europe,21.7,45,4.430816799,41.52,0.577970701,NA,NA,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.84656E-06
46,Albania,77,0.018521794,46028.81171,7.857142857,13.188,104.871,255.25,11803.431,29.33428571,52.9,0.21,Europe,21.7,46,4.343805422,29.33428571,0.197019582,0.25525,-0.320971404,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.85218E-06
47,Albania,73,0.018433353,45880.68257,32.57142857,13.188,104.871,229.3285714,11803.431,23.794,52.9,0.21,Europe,21.7,47,4.290459441,23.794,0.02381857,0.229328571,-0.347322309,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.84334E-06
48,Albania,74,0.018490742,45942.337,20.85714286,13.188,104.871,236.5825714,11803.431,25.428,52.9,0.21,Europe,21.7,48,4.304065093,25.428,0.074900855,0.236582571,-0.339948122,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.84907E-06
49,Albania,75,0.018516519,45980.26271,13.71428571,13.188,104.871,243.5551429,11803.431,27.0725,52.9,0.21,Europe,21.7,49,4.317488114,27.0725,0.126311392,0.243555143,-0.332860026,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.85165E-06
50,Albania,72,0.018341935,45781.84729,54.28571429,13.188,104.871,222.7062857,11803.431,21.29,52.9,0.21,Europe,21.7,50,4.276666119,21.29,-0.054461749,0.222706286,-0.354054315,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.83419E-06
51,Albania,69,0.018107019,45073.46871,140.8571429,13.188,104.871,204.2554286,11803.431,12.03,52.9,0.21,Europe,21.7,51,4.234106505,12.03,-0.343948871,0.204255429,-0.372810872,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.8107E-06
52,Albania,83,0.018481815,46182.10329,28.85714286,13.188,104.871,NA,11803.431,40.285,52.9,0.21,Europe,21.7,52,4.418840608,40.285,0.539361997,NA,NA,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.84818E-06
53,Albania,66,0.017828383,43227.267,391.2857143,13.188,104.871,184.5847143,11803.431,3.578333333,52.9,0.21,Europe,21.7,53,4.189654742,3.578333333,-0.60816579,0.184584714,-0.392807498,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.78284E-06
54,Albania,76,0.018517459,46004.73557,9.428571429,13.188,104.871,250.5667143,11803.431,28.16,52.9,0.21,Europe,21.7,54,4.33073334,28.16,0.160308935,0.250566714,-0.325732285,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.85175E-06
55,Albania,67,0.017940247,44031.05557,286.1428571,13.188,104.871,191.2785714,11803.431,7.217142857,52.9,0.21,Europe,21.7,55,4.204692619,7.217142857,-0.494408932,0.191278571,-0.386002735,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.79402E-06
56,Albania,68,0.018054841,44662.09329,231.2857143,13.188,104.871,197.9422857,11803.431,9.456,52.9,0.21,Europe,21.7,56,4.219507705,9.456,-0.424417538,0.197942286,-0.379228614,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.80548E-06
57,Albania,54,0.020063662,20817.68814,484.1428571,13.188,104.871,88.87042857,11803.431,NA,52.9,0.21,Europe,21.7,57,3.988984047,NA,NA,0.088870429,-0.490107613,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,2.00637E-06
58,Albania,55,0.019427399,22285.476,612.7142857,13.188,104.871,96.91128571,11803.431,0.005,52.9,0.21,Europe,21.7,58,4.007333185,0.005,-0.719875723,0.096911286,-0.481933532,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.94274E-06
59,Albania,79,0.018532813,46046.98029,3.428571429,13.188,104.871,NA,11803.431,33.37,52.9,0.21,Europe,21.7,59,4.369447852,33.37,0.323184519,NA,NA,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.85328E-06
60,Albania,81,0.018521691,46077.311,9.142857143,13.188,104.871,NA,11803.431,35.84571429,52.9,0.21,Europe,21.7,60,4.394449155,35.84571429,0.400580567,NA,NA,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.85217E-06
61,Albania,82,0.018506023,46116.329,24,13.188,104.871,NA,11803.431,37.55333333,52.9,0.21,Europe,21.7,61,4.406719247,37.55333333,0.453964338,NA,NA,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.8506E-06
62,Albania,80,0.018529896,46056.90857,6,13.188,104.871,NA,11803.431,34.64,52.9,0.21,Europe,21.7,62,4.382026635,34.64,0.362887396,NA,NA,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.85299E-06
63,Algeria,74,0.026945367,2899.377286,252.8571429,6.211,17.348,NA,13913.839,NA,23.6,-0.98,Africa,27.4,63,4.304065093,NA,NA,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.69454E-06
